,faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,ties,wins,winsInRegulation,winsInShootout,faceoffWinPctRS,gamesPlayedRS,goalsAgainstRS,goalsAgainstPerGameRS,goalsForRS,goalsForPerGameRS,lossesRS,otLossesRS,penaltyKillNetPctRS,penaltyKillPctRS,pointPctRS,pointsRS,powerPlayNetPctRS,powerPlayPctRS,regulationAndOtWinsRS,shotsAgainstPerGameRS,shotsForPerGameRS,tiesRS,winsRS,winsInRegulationRS,winsInShootoutRS,playoffScore,last3PlayoffScore,last5PlayoffScore,winRateAgainst500Teams
27,0.497175,5,13,2.6,7,1.4,4,,0.925925,0.925926,0.2,2,0.04,0.04,1,20012002,26.6,26.8,Phoenix Coyotes,27,,1,1,0,0.482359,82,210,2.56097,228,2.78048,27,6,0.853932,0.831461,0.57926,95,0.138235,0.155882,40,28.64634,26.57317,9.0,40,36,0,0.0625,0.0,0.0,0.10975609756097561
28,0.501449,10,19,1.9,24,2.4,5,,0.928571,0.880953,0.5,10,0.177777,0.2,5,20012002,25.3,26.9,St. Louis Blues,19,,5,5,0,0.498776,82,188,2.29268,227,2.76829,27,4,0.865435,0.852243,0.59756,98,0.154494,0.174157,43,22.52439,29.02439,8.0,43,37,0,0.3125,0.5625,0.5625,0.13414634146341464
29,0.446601,6,9,1.5,11,1.83333,4,,0.857142,0.809524,0.33333,4,0.214285,0.214285,2,20012002,24.16666,32.83333,New Jersey Devils,1,,2,2,0,0.495151,82,187,2.28048,205,2.5,28,4,0.845283,0.837736,0.57926,95,0.137931,0.168582,41,23.17073,29.81707,9.0,41,35,0,0.125,0.9375,0.9375,0.13414634146341464
30,0.539509,5,11,2.2,2,0.4,4,,0.833333,0.833334,0.2,2,0.0625,0.0625,1,20012002,28.8,27.4,Philadelphia Flyers,4,,1,0,0,0.499249,82,192,2.34146,234,2.85365,27,3,0.890784,0.863482,0.59146,97,0.096666,0.13,42,26.08536,29.78048,10.0,42,39,0,0.0625,0.125,0.125,0.10975609756097561
31,0.467455,5,13,2.6,5,1.0,4,,0.75,0.75,0.2,2,0.0,0.058823,1,20012002,27.8,24.2,Chicago Blackhawks,16,,1,1,0,0.479566,82,207,2.52439,216,2.63414,27,1,0.82647,0.814706,0.58536,96,0.172185,0.178807,41,25.32926,27.69512,13.0,41,38,0,0.0625,0.0,0.0,0.15853658536585366
32,0.470227,24,41,1.70833,63,2.625,8,,0.905405,0.891892,0.66666,32,0.130952,0.154761,16,20022003,26.25,28.58333,New Jersey Devils,1,,16,14,0,0.506797,82,166,2.02439,216,2.63414,20,6,0.905303,0.878788,0.65853,108,0.10561,0.118811,46,23.57317,31.71951,10.0,46,38,0,1.0,1.0625,1.0625,0.12195121951219512
33,0.466417,11,29,2.63636,22,2.0,6,,0.837209,0.790698,0.45454,10,0.135135,0.135135,5,20022003,31.63636,29.90909,Tampa Bay Lightning,14,,5,3,0,0.502349,82,210,2.56097,219,2.67073,25,5,0.844936,0.82595,0.56707,93,0.16624,0.179028,36,28.02439,29.20731,16.0,36,34,0,0.3125,0.0,0.0,0.0975609756097561
34,0.513611,7,24,3.42857,16,2.28571,4,,0.90909,0.848485,0.42857,6,0.08,0.12,3,20022003,40.28571,27.0,Toronto Maple Leafs,10,,3,1,0,0.506856,82,208,2.53658,236,2.87804,28,3,0.894366,0.868545,0.59756,98,0.155988,0.175487,44,29.54878,26.25609,7.0,44,37,0,0.1875,1.0625,1.0625,0.12195121951219512
35,0.453186,18,43,2.38888,43,2.38888,10,,0.841269,0.809524,0.44444,16,0.178082,0.219178,8,20022003,28.33333,24.94444,Minnesota Wild,30,,8,6,0,0.468319,82,178,2.17073,198,2.41463,29,1,0.88961,0.86039,0.57926,95,0.128415,0.142076,42,28.4756,25.43902,10.0,42,34,0,0.5,0.0,0.0,0.17073170731707318
36,0.548812,21,40,1.90476,45,2.14285,6,,0.914285,0.871429,0.71428,30,0.1,0.114285,15,20022003,33.5238,26.95238,Anaheim Ducks,24,,15,8,0,0.552148,82,193,2.35365,203,2.4756,27,6,0.897897,0.873874,0.57926,95,0.146551,0.160919,40,28.9878,27.39024,9.0,40,34,0,0.9375,0.0,0.0,0.10975609756097561
37,0.537634,7,16,2.28571,17,2.42857,4,,0.75862,0.758621,0.42857,6,0.115384,0.153846,3,20022003,25.28571,29.28571,Colorado Avalanche,21,,3,3,0,0.479131,82,194,2.36585,251,3.06097,19,8,0.83844,0.824513,0.64024,105,0.170798,0.187327,42,28.32926,29.09756,13.0,42,35,0,0.1875,1.6875,1.6875,0.12195121951219512
38,0.540045,6,14,2.33333,15,2.5,4,,0.851851,0.851852,0.33333,4,0.148148,0.185185,2,20022003,32.0,29.83333,Washington Capitals,15,,2,2,0,0.491635,82,220,2.68292,224,2.7317,29,6,0.833333,0.8125,0.56097,92,0.16012,0.172205,39,29.92682,27.10975,8.0,39,33,0,0.125,0.125,0.125,0.06097560975609756
39,0.544651,14,47,3.35714,34,2.42857,7,,0.789473,0.763158,0.5,14,0.164383,0.178082,7,20022003,24.78571,27.14285,Vancouver Canucks,23,,7,5,0,0.498407,82,208,2.53658,264,3.21951,23,1,0.871794,0.841026,0.63414,104,0.183333,0.207142,45,26.64634,29.12195,13.0,45,40,0,0.4375,0.125,0.125,0.14634146341463414
40,0.505524,6,20,3.33333,11,1.83333,4,,0.846153,0.820513,0.33333,4,0.043478,0.043478,2,20022003,29.0,22.33333,Edmonton Oilers,22,,2,2,0,0.511089,82,230,2.80487,231,2.81707,26,9,0.863247,0.826211,0.56097,92,0.124352,0.145077,36,27.41463,27.96341,11.0,36,29,0,0.125,0.125,0.125,0.18292682926829268
41,0.480192,12,25,2.08333,34,2.83333,6,,0.92,0.9,0.5,12,0.137931,0.172413,6,20022003,25.83333,31.83333,Dallas Stars,25,,6,6,0,0.502274,82,169,2.06097,245,2.9878,17,4,0.881502,0.855492,0.67682,111,0.171253,0.189602,46,25.28048,30.07317,15.0,46,41,0,0.375,0.25,0.25,0.13414634146341464
42,0.513931,5,13,2.6,8,1.6,4,,0.863636,0.863637,0.2,2,0.166666,0.166666,1,20022003,27.2,28.0,Boston Bruins,6,,1,1,0,0.49579,82,237,2.89024,245,2.9878,31,4,0.853333,0.826667,0.53048,87,0.147692,0.181538,36,28.31707,32.14634,11.0,36,30,0,0.0625,0.125,0.125,0.0975609756097561
43,0.534482,5,13,2.6,7,1.4,4,,0.857142,0.857143,0.2,2,0.096774,0.096774,1,20022003,27.6,27.2,New York Islanders,2,,1,1,0,0.510881,82,231,2.81707,224,2.7317,34,2,0.864197,0.834568,0.50609,83,0.13802,0.151041,35,28.26829,29.59756,11.0,35,30,0,0.0625,0.1875,0.1875,0.08536585365853659
44,0.508456,13,33,2.53846,34,2.61538,7,,0.84,0.82,0.46153,12,0.02,0.1,6,20022003,27.23076,32.0,Philadelphia Flyers,4,,6,5,0,0.522408,82,166,2.02439,211,2.57317,20,4,0.875739,0.852072,0.65243,107,0.118902,0.143292,45,24.62195,30.93902,13.0,45,39,0,0.375,0.1875,0.1875,0.0975609756097561
45,0.542372,4,10,2.5,6,1.5,4,,1.0,1.0,0.0,0,0.142857,0.142857,0,20022003,30.0,42.75,Detroit Red Wings,17,,0,0,0,0.522353,82,203,2.4756,269,3.28048,20,4,0.883289,0.854112,0.67073,110,0.225705,0.238244,48,28.79268,29.76829,10.0,48,41,0,0.0,1.125,1.125,0.14634146341463414
46,0.43,7,17,2.42857,21,3.0,4,,0.851063,0.851064,0.42857,6,0.1875,0.208333,3,20022003,26.14285,28.28571,St. Louis Blues,19,,3,3,0,0.490199,82,222,2.70731,253,3.08536,24,6,0.845758,0.817481,0.60365,99,0.1867,0.204603,41,24.96341,28.06097,11.0,41,35,0,0.1875,0.875,0.875,0.0975609756097561
47,0.487079,18,34,1.88888,43,2.38888,7,,0.958904,0.917809,0.61111,22,0.135802,0.148148,11,20022003,24.94444,27.44444,Ottawa Senators,9,,11,7,0,0.470566,82,182,2.21951,263,3.20731,21,1,0.861445,0.849398,0.68902,113,0.191815,0.212276,52,24.79268,29.78048,8.0,52,45,0,0.6875,0.4375,0.4375,0.14634146341463414
