,faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,ties,wins,winsInRegulation,winsInShootout,playoffScore,last5PlayoffScore,winRateAgainst500Teams
112,0.40909,6,22,3.66666,15,2.5,4,,0.842105,0.842106,0.33333,4,0.1,0.1,2,20172018,35.33333,28.66666,Colorado Avalanche,21,,2,2,0,0.125,0.1875,0.3170731707317073
167,0.593023,5,17,3.4,11,2.2,4,,0.8,0.8,0.2,2,0.136363,0.227272,1,20182019,41.0,32.8,Calgary Flames,20,,1,1,0,0.0625,0.3125,0.21951219512195122
217,0.473344,10,25,2.5,30,3.0,4,,0.88,0.84,0.6,12,0.193548,0.258064,6,20182019,33.3,32.0,Columbus Blue Jackets,29,,6,5,0,0.375,0.3125,0.23170731707317074
176,0.482758,4,14,3.5,6,1.5,4,,0.846153,0.846154,0.0,0,0.090909,0.090909,0,20182019,32.25,34.0,Pittsburgh Penguins,5,,0,0,0,0.0,2.875,0.2804878048780488
317,0.478048,7,23,3.28571,17,2.42857,4,,0.625,0.5625,0.42857,6,0.1875,0.1875,3,20182019,35.42857,32.0,Toronto Maple Leafs,10,,3,3,0,0.1875,0.3125,0.25609756097560976
295,0.478142,6,16,2.66666,16,2.66666,4,,0.789473,0.736843,0.33333,4,0.214285,0.214285,2,20182019,30.66666,28.83333,Winnipeg Jets,52,,2,1,0,0.125,0.5625,0.24390243902439024
212,0.506224,7,23,3.28571,25,3.57142,4,,0.823529,0.764706,0.42857,6,0.241379,0.275862,3,20182019,33.14285,35.0,Vegas Golden Knights,54,,3,3,0,0.1875,0.8125,0.18292682926829268
347,0.442708,12,31,2.58333,35,2.91666,5,,0.880952,0.833334,0.58333,14,0.145833,0.145833,7,20182019,31.33333,33.08333,Colorado Avalanche,21,,7,4,0,0.4375,0.3125,0.18292682926829268
53,0.502222,4,19,4.75,8,2.0,4,,0.6,0.5,0.0,0,0.0,0.166666,0,20182019,27.0,29.25,Tampa Bay Lightning,14,,0,0,0,0.0,2.25,0.34146341463414637
78,0.5189,24,51,2.125,79,3.29166,9,,0.913043,0.884058,0.625,30,0.31081,0.324324,15,20182019,31.0,32.625,Boston Bruins,6,,15,14,0,0.9375,0.875,0.2804878048780488
269,0.505494,20,66,3.3,58,2.9,10,,0.821917,0.794521,0.5,20,0.149253,0.179104,10,20182019,30.3,30.2,San Jose Sharks,28,,10,7,0,0.625,1.5625,0.23170731707317074
77,0.50399,13,30,2.30769,35,2.6923,6,,0.972972,0.945946,0.53846,14,0.222222,0.222222,7,20182019,34.84615,31.23076,Dallas Stars,25,,7,6,0,0.4375,0.5625,0.23170731707317074
359,0.489525,15,42,2.8,39,2.6,7,,0.705882,0.686275,0.53333,16,0.096153,0.096153,8,20182019,27.53333,30.46666,Carolina Hurricanes,12,,8,6,0,0.5,0.0,0.2073170731707317
64,0.534825,6,18,3.0,12,2.0,4,,0.818181,0.818182,0.33333,4,0.0,0.0,2,20182019,33.33333,36.33333,Nashville Predators,18,,2,1,0,0.125,1.875,0.25609756097560976
27,0.520089,8,19,2.375,19,2.375,4,,0.916666,0.916667,0.5,8,0.2,0.2,4,20182019,30.625,30.625,New York Islanders,2,,4,3,0,0.25,0.5,0.23170731707317074
126,0.499691,26,70,2.6923,75,2.88461,10,,0.753846,0.753847,0.61538,32,0.1125,0.1625,16,20182019,28.88461,30.07692,St. Louis Blues,19,,16,14,0,1.0,1.25,0.2804878048780488
147,0.488888,7,21,3.0,20,2.85714,4,,0.88,0.88,0.42857,6,0.208333,0.25,3,20182019,33.42857,27.14285,Washington Capitals,15,,3,2,0,0.1875,2.25,0.23170731707317074
